Country,Region,City,NIL,CODICE,PREVALENTE,DISCIPLINA,DENOMINAZI,INDIRIZZO,CATEGORIA,TIPOLOGIA,SEDIME
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,1566,Servizio principale,Disciplinato PdS,L'altra Associazione Onlus,VIA SIDERNO 4,Servizi Sociali,Diurnato,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,1566,Servizio sussidiario,Disciplinato PdS,CSE Centro Socio Educativo,VIA SIDERNO 4,Servizi Sociali,Diurnato,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,1979,Servizio unico,Servizio privato,Milano Succ. 78 - Upg,VIA PONALE 6,Amministrativo,Uffici degli Enti Pubblici e delle societÃ  di,Puntuale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,2039,Servizio unico,Disciplinato PdS,Appartamento,VIA PONALE 66,Servizi Sociali,ResidenzialitÃ ,Puntuale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,2186,Servizio unico,Servizio privato,S. Carlo Alla Ca' Granda,Largo Rapallo 5,Sport,Strutture sportive oratoriali,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,2348,Servizio unico,Disciplinato PdS,Depuratore Bresso - Seveso Sud,VIA DEL REGNO ITALICO 0,Infrastrutture tecnologiche e,Smaltimento e trattamento acque reflue,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,2495,Servizio unico,Disciplinato PdS,Palanzone 10,VIA PALANZONE 0,Istruzione,Servizi educativi per l'infanzia,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,2685,Servizio unico,Disciplinato PdS,Settore Parchi e Giardini,VIA AUSONIO ZUBIANI 1,Amministrativo,Comunali,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,2894,Servizio unico,Disciplinato PdS,Stazione Carabinieri,VIALE TESTI FULVIO 119,Sicurezza e Protezione,Carabinieri,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,3111,Servizio unico,Servizio privato,S. Martino In Niguarda,PIAZZA BELLOVESO 5,Sport,Strutture sportive oratoriali,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,3169,Servizio unico,Disciplinato PdS,"Fondazione Clerici - ""Maria Belloni""",VIA ANGELO BELLONI 3,Istruzione,Formazione professionale,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,3286,Servizio unico,Servizio privato,S. Dionigi In Pratocentenaro,VIALE SUZZANI GIOVANNI 75,Sport,Strutture sportive oratoriali,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,3307,Servizio unico,Disciplinato PdS,Asd Niguarda Calcio,VIA AREZZO 13,Sport,Centri Polivalenti,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,3350,Servizio unico,Disciplinato PdS,CSRC Ermanno Masini,VIA GRIVOLA 10,Servizi Sociali,Diurnato,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,3468,Servizio unico,Servizio privato,Dr Pediatra Iulitta Paola,VIA MONTE ROTONDO 21,Salute,Studi e attivitÃ  professionali,Puntuale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,3487,Servizio unico,Servizio privato,Dr Pediatra Marzano Daniela,VIA MONTE ROTONDO 21,Salute,Studi e attivitÃ  professionali,Puntuale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,3548,Servizio principale,Disciplinato PdS,Itis L. Galvani,VIA FRANCESCO GATTI 14,Istruzione,Scuole secondarie di secondo grado,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,3548,Servizio sussidiario,Servizio privato,Lss Galvani,VIA FRANCESCO GATTI 14,Istruzione,Scuole secondarie di secondo grado,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,3590,Servizio unico,Servizio privato,Ecomuseo Urbano di Niguarda,VIA ANTONIO CESARI 17,Cultura,Musei e sedi espositive assimilabili,Puntuale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,3649,Servizio unico,Disciplinato PdS,CAD Centro Aggregazione Disabili,VIA LUIGI ORNATO 7,Servizi Sociali,Diurnato,Puntuale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,3650,Servizio unico,Disciplinato PdS,SFA Servizi Formazione Autonomia,VIA LUIGI ORNATO 7,Servizi Sociali,Diurnato,Puntuale
